Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
169,5.7,3.8,1.7,0.3,Iris-setosa
170,5.1,3.8,1.5,0.3,Iris-setosa
171,5.4,3.4,1.7,0.2,Iris-setosa
172,5.1,3.7,1.5,0.4,Iris-setosa
173,4.6,3.6,1,0.2,Iris-setosa
174,5.1,3.3,1.7,0.5,Iris-setosa
175,4.8,3.4,1.9,0.2,Iris-setosa
176,5,3,1.6,0.2,Iris-setosa
177,5,3.4,1.6,0.4,Iris-setosa
178,5.2,3.5,1.5,0.2,Iris-setosa
179,5.2,3.4,1.4,0.2,Iris-setosa
180,4.7,3.2,1.6,0.2,Iris-setosa
181,4.8,3.1,1.6,0.2,Iris-setosa
182,5.4,3.4,1.5,0.4,Iris-setosa
183,5.2,4.1,1.5,0.1,Iris-setosa
184,5.5,4.2,1.4,0.2,Iris-setosa
185,4.9,3.1,1.5,0.1,Iris-setosa
186,5,3.2,1.2,0.2,Iris-setosa
187,5.5,3.5,1.3,0.2,Iris-setosa
188,4.9,3.1,1.5,0.1,Iris-setosa
189,4.4,3,1.3,0.2,Iris-setosa
190,5.1,3.4,1.5,0.2,Iris-setosa
191,5,3.5,1.3,0.3,Iris-setosa
192,4.5,2.3,1.3,0.3,Iris-setosa
193,4.4,3.2,1.3,0.2,Iris-setosa
194,5,3.5,1.6,0.6,Iris-setosa
195,5.1,3.8,1.9,0.4,Iris-setosa
196,4.8,3,1.4,0.3,Iris-setosa
197,5.1,3.8,1.6,0.2,Iris-setosa
198,4.6,3.2,1.4,0.2,Iris-setosa
199,5.3,3.7,1.5,0.2,Iris-setosa
200,5,3.3,1.4,0.2,Iris-setosa
201,7,3.2,4.7,1.4,Iris-versicolor
202,6.4,3.2,4.5,1.5,Iris-versicolor
203,6.9,3.1,4.9,1.5,Iris-versicolor
204,5.5,2.3,4,1.3,Iris-versicolor
205,6.5,2.8,4.6,1.5,Iris-versicolor
206,5.7,2.8,4.5,1.3,Iris-versicolor
207,6.3,3.3,4.7,1.6,Iris-versicolor
208,4.9,2.4,3.3,1,Iris-versicolor
209,6.6,2.9,4.6,1.3,Iris-versicolor
210,5.2,2.7,3.9,1.4,Iris-versicolor
211,5,2,3.5,1,Iris-versicolor
212,5.9,3,4.2,1.5,Iris-versicolor
213,6,2.2,4,1,Iris-versicolor
214,6.1,2.9,4.7,1.4,Iris-versicolor
215,5.6,2.9,3.6,1.3,Iris-versicolor
216,6.7,3.1,4.4,1.4,Iris-versicolor
217,5.6,3,4.5,1.5,Iris-versicolor
218,5.8,2.7,4.1,1,Iris-versicolor
219,6.2,2.2,4.5,1.5,Iris-versicolor
220,5.6,2.5,3.9,1.1,Iris-versicolor
221,5.9,3.2,4.8,1.8,Iris-versicolor
222,6.1,2.8,4,1.3,Iris-versicolor
223,6.3,2.5,4.9,1.5,Iris-versicolor
224,6.1,2.8,4.7,1.2,Iris-versicolor
225,6.4,2.9,4.3,1.3,Iris-versicolor
226,6.6,3,4.4,1.4,Iris-versicolor
227,6.8,2.8,4.8,1.4,Iris-versicolor
228,6.7,3,5,1.7,Iris-versicolor
229,6,2.9,4.5,1.5,Iris-versicolor
230,5.7,2.6,3.5,1,Iris-versicolor
231,5.5,2.4,3.8,1.1,Iris-versicolor
232,5.5,2.4,3.7,1,Iris-versicolor
233,5.8,2.7,3.9,1.2,Iris-versicolor
234,6,2.7,5.1,1.6,Iris-versicolor
235,5.4,3,4.5,1.5,Iris-versicolor
236,6,3.4,4.5,1.6,Iris-versicolor
237,6.7,3.1,4.7,1.5,Iris-versicolor
238,6.3,2.3,4.4,1.3,Iris-versicolor
239,5.6,3,4.1,1.3,Iris-versicolor
240,5.5,2.5,4,1.3,Iris-versicolor
241,5.5,2.6,4.4,1.2,Iris-versicolor
242,6.1,3,4.6,1.4,Iris-versicolor
243,5.8,2.6,4,1.2,Iris-versicolor
244,5,2.3,3.3,1,Iris-versicolor
245,5.6,2.7,4.2,1.3,Iris-versicolor
246,5.7,3,4.2,1.2,Iris-versicolor
247,5.7,2.9,4.2,1.3,Iris-versicolor
248,6.2,2.9,4.3,1.3,Iris-versicolor
249,5.1,2.5,3,1.1,Iris-versicolor
250,5.7,2.8,4.1,1.3,Iris-versicolor
251,6.3,3.3,6,2.5,Iris-virginica
252,5.8,2.7,5.1,1.9,Iris-virginica
253,7.1,3,5.9,2.1,Iris-virginica
254,6.3,2.9,5.6,1.8,Iris-virginica
255,6.5,3,5.8,2.2,Iris-virginica
256,7.6,3,6.6,2.1,Iris-virginica
257,4.9,2.5,4.5,1.7,Iris-virginica
258,7.3,2.9,6.3,1.8,Iris-virginica
259,6.7,2.5,5.8,1.8,Iris-virginica
260,7.2,3.6,6.1,2.5,Iris-virginica
261,6.5,3.2,5.1,2,Iris-virginica
262,6.4,2.7,5.3,1.9,Iris-virginica
263,6.8,3,5.5,2.1,Iris-virginica
264,5.7,2.5,5,2,Iris-virginica
265,5.8,2.8,5.1,2.4,Iris-virginica
266,6.4,3.2,5.3,2.3,Iris-virginica
267,6.5,3,5.5,1.8,Iris-virginica
268,7.7,3.8,6.7,2.2,Iris-virginica
269,7.7,2.6,6.9,2.3,Iris-virginica
270,6,2.2,5,1.5,Iris-virginica
271,6.9,3.2,5.7,2.3,Iris-virginica
272,5.6,2.8,4.9,2,Iris-virginica
273,7.7,2.8,6.7,2,Iris-virginica
274,6.3,2.7,4.9,1.8,Iris-virginica
275,6.7,3.3,5.7,2.1,Iris-virginica
276,7.2,3.2,6,1.8,Iris-virginica
277,6.2,2.8,4.8,1.8,Iris-virginica
278,6.1,3,4.9,1.8,Iris-virginica
279,6.4,2.8,5.6,2.1,Iris-virginica
280,7.2,3,5.8,1.6,Iris-virginica
281,7.4,2.8,6.1,1.9,Iris-virginica
282,7.9,3.8,6.4,2,Iris-virginica
283,6.4,2.8,5.6,2.2,Iris-virginica
284,6.3,2.8,5.1,1.5,Iris-virginica
285,6.1,2.6,5.6,1.4,Iris-virginica
286,7.7,3,6.1,2.3,Iris-virginica
287,6.3,3.4,5.6,2.4,Iris-virginica
288,6.4,3.1,5.5,1.8,Iris-virginica
289,6,3,4.8,1.8,Iris-virginica
290,6.9,3.1,5.4,2.1,Iris-virginica
291,6.7,3.1,5.6,2.4,Iris-virginica
292,6.9,3.1,5.1,2.3,Iris-virginica
293,5.8,2.7,5.1,1.9,Iris-virginica
294,6.8,3.2,5.9,2.3,Iris-virginica
295,6.7,3.3,5.7,2.5,Iris-virginica
296,6.7,3,5.2,2.3,Iris-virginica
297,6.3,2.5,5,1.9,Iris-virginica
298,6.5,3,5.2,2,Iris-virginica
299,6.2,3.4,5.4,2.3,Iris-virginica
300,5.9,3,5.1,1.8,Iris-virginica
301,5.1,3.5,1.4,0.2,Iris-setosa
302,4.9,3,1.4,0.2,Iris-setosa
303,4.7,3.2,1.3,0.2,Iris-setosa
304,4.6,3.1,1.5,0.2,Iris-setosa
305,5,3.6,1.4,0.2,Iris-setosa
306,5.4,3.9,1.7,0.4,Iris-setosa
307,4.6,3.4,1.4,0.3,Iris-setosa
308,5,3.4,1.5,0.2,Iris-setosa
309,4.4,2.9,1.4,0.2,Iris-setosa
310,4.9,3.1,1.5,0.1,Iris-setosa
311,5.4,3.7,1.5,0.2,Iris-setosa
312,4.8,3.4,1.6,0.2,Iris-setosa
313,4.8,3,1.4,0.1,Iris-setosa
314,4.3,3,1.1,0.1,Iris-setosa
315,5.8,4,1.2,0.2,Iris-setosa
316,5.7,4.4,1.5,0.4,Iris-setosa
317,5.4,3.9,1.3,0.4,Iris-setosa
318,5.1,3.5,1.4,0.3,Iris-setosa
319,5.7,3.8,1.7,0.3,Iris-setosa
320,5.1,3.8,1.5,0.3,Iris-setosa
321,5.4,3.4,1.7,0.2,Iris-setosa
322,5.1,3.7,1.5,0.4,Iris-setosa
323,4.6,3.6,1,0.2,Iris-setosa
324,5.1,3.3,1.7,0.5,Iris-setosa
325,4.8,3.4,1.9,0.2,Iris-setosa
326,5,3,1.6,0.2,Iris-setosa
327,5,3.4,1.6,0.4,Iris-setosa
328,5.2,3.5,1.5,0.2,Iris-setosa
329,5.2,3.4,1.4,0.2,Iris-setosa
330,4.7,3.2,1.6,0.2,Iris-setosa
331,4.8,3.1,1.6,0.2,Iris-setosa
332,5.4,3.4,1.5,0.4,Iris-setosa
333,5.2,4.1,1.5,0.1,Iris-setosa
334,5.5,4.2,1.4,0.2,Iris-setosa
335,4.9,3.1,1.5,0.1,Iris-setosa
336,5,3.2,1.2,0.2,Iris-setosa
337,5.5,3.5,1.3,0.2,Iris-setosa
338,4.9,3.1,1.5,0.1,Iris-setosa
339,4.4,3,1.3,0.2,Iris-setosa
340,5.1,3.4,1.5,0.2,Iris-setosa
341,5,3.5,1.3,0.3,Iris-setosa
342,4.5,2.3,1.3,0.3,Iris-setosa
343,4.4,3.2,1.3,0.2,Iris-setosa
344,5,3.5,1.6,0.6,Iris-setosa
345,5.1,3.8,1.9,0.4,Iris-setosa
346,4.8,3,1.4,0.3,Iris-setosa
347,5.1,3.8,1.6,0.2,Iris-setosa
348,4.6,3.2,1.4,0.2,Iris-setosa
349,5.3,3.7,1.5,0.2,Iris-setosa
350,5,3.3,1.4,0.2,Iris-setosa
351,7,3.2,4.7,1.4,Iris-versicolor
352,6.4,3.2,4.5,1.5,Iris-versicolor
353,6.9,3.1,4.9,1.5,Iris-versicolor
354,5.5,2.3,4,1.3,Iris-versicolor
355,6.5,2.8,4.6,1.5,Iris-versicolor
356,5.7,2.8,4.5,1.3,Iris-versicolor
357,6.3,3.3,4.7,1.6,Iris-versicolor
358,4.9,2.4,3.3,1,Iris-versicolor
359,6.6,2.9,4.6,1.3,Iris-versicolor
360,5.2,2.7,3.9,1.4,Iris-versicolor
361,5,2,3.5,1,Iris-versicolor
362,5.9,3,4.2,1.5,Iris-versicolor
363,6,2.2,4,1,Iris-versicolor
364,6.1,2.9,4.7,1.4,Iris-versicolor
365,5.6,2.9,3.6,1.3,Iris-versicolor
366,6.7,3.1,4.4,1.4,Iris-versicolor
367,5.6,3,4.5,1.5,Iris-versicolor
368,5.8,2.7,4.1,1,Iris-versicolor
369,6.2,2.2,4.5,1.5,Iris-versicolor
370,5.6,2.5,3.9,1.1,Iris-versicolor
371,5.9,3.2,4.8,1.8,Iris-versicolor
372,6.1,2.8,4,1.3,Iris-versicolor
373,6.3,2.5,4.9,1.5,Iris-versicolor
374,6.1,2.8,4.7,1.2,Iris-versicolor
375,6.4,2.9,4.3,1.3,Iris-versicolor
376,6.6,3,4.4,1.4,Iris-versicolor
377,6.8,2.8,4.8,1.4,Iris-versicolor
378,6.7,3,5,1.7,Iris-versicolor
379,6,2.9,4.5,1.5,Iris-versicolor
380,5.7,2.6,3.5,1,Iris-versicolor
381,5.5,2.4,3.8,1.1,Iris-versicolor
382,5.5,2.4,3.7,1,Iris-versicolor
383,5.8,2.7,3.9,1.2,Iris-versicolor
384,6,2.7,5.1,1.6,Iris-versicolor
385,5.4,3,4.5,1.5,Iris-versicolor
386,6,3.4,4.5,1.6,Iris-versicolor
387,6.7,3.1,4.7,1.5,Iris-versicolor
388,6.3,2.3,4.4,1.3,Iris-versicolor
389,5.6,3,4.1,1.3,Iris-versicolor
390,5.5,2.5,4,1.3,Iris-versicolor
391,5.5,2.6,4.4,1.2,Iris-versicolor
392,6.1,3,4.6,1.4,Iris-versicolor
393,5.8,2.6,4,1.2,Iris-versicolor
394,5,2.3,3.3,1,Iris-versicolor
395,5.6,2.7,4.2,1.3,Iris-versicolor
396,5.7,3,4.2,1.2,Iris-versicolor
397,5.7,2.9,4.2,1.3,Iris-versicolor
398,6.2,2.9,4.3,1.3,Iris-versicolor
399,5.1,2.5,3,1.1,Iris-versicolor
400,5.7,2.8,4.1,1.3,Iris-versicolor
401,6.3,3.3,6,2.5,Iris-virginica
402,5.8,2.7,5.1,1.9,Iris-virginica
403,7.1,3,5.9,2.1,Iris-virginica
404,6.3,2.9,5.6,1.8,Iris-virginica
405,6.5,3,5.8,2.2,Iris-virginica
406,7.6,3,6.6,2.1,Iris-virginica
407,4.9,2.5,4.5,1.7,Iris-virginica
408,7.3,2.9,6.3,1.8,Iris-virginica
409,6.7,2.5,5.8,1.8,Iris-virginica
410,7.2,3.6,6.1,2.5,Iris-virginica
411,6.5,3.2,5.1,2,Iris-virginica
412,6.4,2.7,5.3,1.9,Iris-virginica
413,6.8,3,5.5,2.1,Iris-virginica
414,5.7,2.5,5,2,Iris-virginica
415,5.8,2.8,5.1,2.4,Iris-virginica
416,6.4,3.2,5.3,2.3,Iris-virginica
417,6.5,3,5.5,1.8,Iris-virginica
418,7.7,3.8,6.7,2.2,Iris-virginica
419,7.7,2.6,6.9,2.3,Iris-virginica
420,6,2.2,5,1.5,Iris-virginica
421,6.9,3.2,5.7,2.3,Iris-virginica
422,5.6,2.8,4.9,2,Iris-virginica
423,7.7,2.8,6.7,2,Iris-virginica
424,6.3,2.7,4.9,1.8,Iris-virginica
425,6.7,3.3,5.7,2.1,Iris-virginica
426,7.2,3.2,6,1.8,Iris-virginica
427,6.2,2.8,4.8,1.8,Iris-virginica
428,6.1,3,4.9,1.8,Iris-virginica
429,6.4,2.8,5.6,2.1,Iris-virginica
430,7.2,3,5.8,1.6,Iris-virginica
431,7.4,2.8,6.1,1.9,Iris-virginica
432,7.9,3.8,6.4,2,Iris-virginica
433,6.4,2.8,5.6,2.2,Iris-virginica
434,6.3,2.8,5.1,1.5,Iris-virginica
435,6.1,2.6,5.6,1.4,Iris-virginica
436,7.7,3,6.1,2.3,Iris-virginica
437,6.3,3.4,5.6,2.4,Iris-virginica
438,6.4,3.1,5.5,1.8,Iris-virginica
439,6,3,4.8,1.8,Iris-virginica
440,6.9,3.1,5.4,2.1,Iris-virginica
441,6.7,3.1,5.6,2.4,Iris-virginica
442,6.9,3.1,5.1,2.3,Iris-virginica
443,5.8,2.7,5.1,1.9,Iris-virginica
444,6.8,3.2,5.9,2.3,Iris-virginica
445,6.7,3.3,5.7,2.5,Iris-virginica
446,6.7,3,5.2,2.3,Iris-virginica
447,6.3,2.5,5,1.9,Iris-virginica
448,6.5,3,5.2,2,Iris-virginica
449,6.2,3.4,5.4,2.3,Iris-virginica
450,5.9,3,5.1,1.8,Iris-virginica
451,5.1,3.5,1.4,0.2,Iris-setosa
452,4.9,3,1.4,0.2,Iris-setosa
453,4.7,3.2,1.3,0.2,Iris-setosa
454,4.6,3.1,1.5,0.2,Iris-setosa
455,5,3.6,1.4,0.2,Iris-setosa
456,5.4,3.9,1.7,0.4,Iris-setosa
457,4.6,3.4,1.4,0.3,Iris-setosa
458,5,3.4,1.5,0.2,Iris-setosa
459,4.4,2.9,1.4,0.2,Iris-setosa
460,4.9,3.1,1.5,0.1,Iris-setosa
461,5.4,3.7,1.5,0.2,Iris-setosa
462,4.8,3.4,1.6,0.2,Iris-setosa
463,4.8,3,1.4,0.1,Iris-setosa
464,4.3,3,1.1,0.1,Iris-setosa
465,5.8,4,1.2,0.2,Iris-setosa
466,5.7,4.4,1.5,0.4,Iris-setosa
467,5.4,3.9,1.3,0.4,Iris-setosa
468,5.1,3.5,1.4,0.3,Iris-setosa
469,5.7,3.8,1.7,0.3,Iris-setosa
470,5.1,3.8,1.5,0.3,Iris-setosa
471,5.4,3.4,1.7,0.2,Iris-setosa
472,5.1,3.7,1.5,0.4,Iris-setosa
473,4.6,3.6,1,0.2,Iris-setosa
474,5.1,3.3,1.7,0.5,Iris-setosa
475,4.8,3.4,1.9,0.2,Iris-setosa
476,5,3,1.6,0.2,Iris-setosa
477,5,3.4,1.6,0.4,Iris-setosa
478,5.2,3.5,1.5,0.2,Iris-setosa
479,5.2,3.4,1.4,0.2,Iris-setosa
480,4.7,3.2,1.6,0.2,Iris-setosa
481,4.8,3.1,1.6,0.2,Iris-setosa
482,5.4,3.4,1.5,0.4,Iris-setosa
483,5.2,4.1,1.5,0.1,Iris-setosa
484,5.5,4.2,1.4,0.2,Iris-setosa
485,4.9,3.1,1.5,0.1,Iris-setosa
486,5,3.2,1.2,0.2,Iris-setosa
487,5.5,3.5,1.3,0.2,Iris-setosa
488,4.9,3.1,1.5,0.1,Iris-setosa
489,4.4,3,1.3,0.2,Iris-setosa
490,5.1,3.4,1.5,0.2,Iris-setosa
491,5,3.5,1.3,0.3,Iris-setosa
492,4.5,2.3,1.3,0.3,Iris-setosa
493,4.4,3.2,1.3,0.2,Iris-setosa
494,5,3.5,1.6,0.6,Iris-setosa
495,5.1,3.8,1.9,0.4,Iris-setosa
496,4.8,3,1.4,0.3,Iris-setosa
497,5.1,3.8,1.6,0.2,Iris-setosa
498,4.6,3.2,1.4,0.2,Iris-setosa
499,5.3,3.7,1.5,0.2,Iris-setosa
500,5,3.3,1.4,0.2,Iris-setosa
501,7,3.2,4.7,1.4,Iris-versicolor
502,6.4,3.2,4.5,1.5,Iris-versicolor
503,6.9,3.1,4.9,1.5,Iris-versicolor
504,5.5,2.3,4,1.3,Iris-versicolor
505,6.5,2.8,4.6,1.5,Iris-versicolor
506,5.7,2.8,4.5,1.3,Iris-versicolor
507,6.3,3.3,4.7,1.6,Iris-versicolor
508,4.9,2.4,3.3,1,Iris-versicolor
509,6.6,2.9,4.6,1.3,Iris-versicolor
510,5.2,2.7,3.9,1.4,Iris-versicolor
511,5,2,3.5,1,Iris-versicolor
512,5.9,3,4.2,1.5,Iris-versicolor
513,6,2.2,4,1,Iris-versicolor
514,6.1,2.9,4.7,1.4,Iris-versicolor
515,5.6,2.9,3.6,1.3,Iris-versicolor
516,6.7,3.1,4.4,1.4,Iris-versicolor
517,5.6,3,4.5,1.5,Iris-versicolor
518,5.8,2.7,4.1,1,Iris-versicolor
519,6.2,2.2,4.5,1.5,Iris-versicolor
520,5.6,2.5,3.9,1.1,Iris-versicolor
521,5.9,3.2,4.8,1.8,Iris-versicolor
522,6.1,2.8,4,1.3,Iris-versicolor
523,6.3,2.5,4.9,1.5,Iris-versicolor
524,6.1,2.8,4.7,1.2,Iris-versicolor
525,6.4,2.9,4.3,1.3,Iris-versicolor
526,6.6,3,4.4,1.4,Iris-versicolor
527,6.8,2.8,4.8,1.4,Iris-versicolor
528,6.7,3,5,1.7,Iris-versicolor
529,6,2.9,4.5,1.5,Iris-versicolor
530,5.7,2.6,3.5,1,Iris-versicolor
531,5.5,2.4,3.8,1.1,Iris-versicolor
532,5.5,2.4,3.7,1,Iris-versicolor
533,5.8,2.7,3.9,1.2,Iris-versicolor
534,6,2.7,5.1,1.6,Iris-versicolor
535,5.4,3,4.5,1.5,Iris-versicolor
536,6,3.4,4.5,1.6,Iris-versicolor
537,6.7,3.1,4.7,1.5,Iris-versicolor
538,6.3,2.3,4.4,1.3,Iris-versicolor
539,5.6,3,4.1,1.3,Iris-versicolor
540,5.5,2.5,4,1.3,Iris-versicolor
541,5.5,2.6,4.4,1.2,Iris-versicolor
542,6.1,3,4.6,1.4,Iris-versicolor
543,5.8,2.6,4,1.2,Iris-versicolor
544,5,2.3,3.3,1,Iris-versicolor
545,5.6,2.7,4.2,1.3,Iris-versicolor
546,5.7,3,4.2,1.2,Iris-versicolor
547,5.7,2.9,4.2,1.3,Iris-versicolor
